,Дата операции,date,Номер карты,Статус,Сумма операции,Валюта операции,Сумма платежа,Валюта платежа,Кэшбэк,category,MCC,description,Бонусы (включая кэшбэк),Округление на инвесткопилку,Сумма операции с округлением,amount,last_digits,total_spent,cashback
0,31.12.2021 16:44:00,31.12.2021,*7197,OK,-160.89,RUB,-160.89,RUB,0.0,Супермаркеты,5411.0,Колхоз,3,0,160.89,160.89,7197,160.89,5.0
1,31.12.2021 16:42:04,31.12.2021,*7197,OK,-64.0,RUB,-64.0,RUB,0.0,Супермаркеты,5411.0,Колхоз,1,0,64.0,64.0,7197,64.0,1.0
2,31.12.2021 16:39:04,31.12.2021,*7197,OK,-118.12,RUB,-118.12,RUB,0.0,Супермаркеты,5411.0,Магнит,2,0,118.12,118.12,7197,118.12,3.0
3,31.12.2021 15:44:39,31.12.2021,*7197,OK,-78.05,RUB,-78.05,RUB,0.0,Супермаркеты,5411.0,Колхоз,1,0,78.05,78.05,7197,78.05,1.0
4,31.12.2021 01:23:42,31.12.2021,*5091,OK,-564.0,RUB,-564.0,RUB,0.0,Различные товары,5399.0,Ozon.ru,5,0,564.0,564.0,5091,564.0,11.0
5,30.12.2021 19:18:22,31.12.2021,*5091,OK,-7.07,RUB,-7.07,RUB,0.0,Каршеринг,7512.0,Ситидрайв,0,0,7.07,7.07,5091,7.07,0.0
6,30.12.2021 19:06:39,31.12.2021,*7197,OK,-1.32,RUB,-1.32,RUB,0.0,Каршеринг,7512.0,Ситидрайв,0,0,1.32,1.32,7197,1.32,0.0
7,30.12.2021 17:50:30,30.12.2021,*4556,OK,5046.0,RUB,5046.0,RUB,0.0,Пополнения,,Пополнение через Газпромбанк,0,0,5046.0,5046.0,4556,0.0,0.0
8,30.12.2021 17:50:17,30.12.2021,*4556,OK,174000.0,RUB,174000.0,RUB,0.0,Пополнения,,Пополнение через Газпромбанк,0,0,174000.0,174000.0,4556,0.0,0.0
9,30.12.2021 14:48:25,30.12.2021,*7197,OK,-349.0,RUB,-349.0,RUB,0.0,Канцтовары,5943.0,Mitrankov M.V.,6,0,349.0,349.0,7197,349.0,9.0
10,29.12.2021 22:32:24,30.12.2021,*4556,OK,-1411.4,RUB,-1411.4,RUB,70.0,Ж/д билеты,4112.0,РЖД,70,0,1411.4,1411.4,4556,1411.4,84.0
11,29.12.2021 22:28:47,30.12.2021,*4556,OK,-1411.4,RUB,-1411.4,RUB,70.0,Ж/д билеты,4112.0,РЖД,70,0,1411.4,1411.4,4556,1411.4,84.0
12,29.12.2021 16:22:08,29.12.2021,*5091,OK,-120.0,RUB,-120.0,RUB,0.0,Фастфуд,5814.0,Mouse Tail,1,0,120.0,120.0,5091,120.0,2.0
